,season,week,awayteam,hometeam,awayscore,homescore,score_abs,winner_home,winner_away
0,2018,2,Ravens,Bengals,23,34,11,1,0
1,2018,2,Panthers,Falcons,24,31,7,1,0
2,2018,2,Chargers,Bills,31,20,-11,0,1
3,2018,2,Texans,Titans,17,20,3,1,0
4,2017,2,Texans,Bengals,13,9,-4,0,1
5,2017,1,Chiefs,Patriots,42,27,-15,0,1
6,2019,1,Packers,Bears,10,3,-7,0,1
7,2018,2,Browns,Saints,18,21,3,1,0
8,2018,2,Dolphins,Jets,20,12,-8,0,1
9,2018,2,Chiefs,Steelers,42,37,-5,0,1
10,2018,1,Falcons,Eagles,12,18,6,1,0
11,2017,2,Cardinals,Colts,16,13,-3,0,1
12,2017,2,Eagles,Chiefs,20,27,7,1,0
13,2017,2,Patriots,Saints,36,20,-16,0,1
14,2017,1,Jets,Bills,12,21,9,1,0
15,2017,1,Falcons,Bears,23,17,-6,0,1
16,2017,1,Ravens,Bengals,20,0,-20,0,1
17,2019,1,Titans,Browns,43,13,-30,0,1
18,2019,1,Ravens,Dolphins,59,10,-49,0,1
19,2019,1,Falcons,Vikings,12,28,16,1,0
20,2019,2,Buccaneers,Panthers,20,14,-6,0,1
21,2018,2,Eagles,Buccaneers,21,27,6,1,0
22,2018,2,Colts,Washington,21,9,-12,0,1
23,2018,2,Cardinals,Rams,0,34,34,1,0
24,2020,1,Texans,Chiefs,20,34,14,1,0
25,2018,1,Bengals,Colts,34,23,-11,0,1
26,2018,1,Titans,Dolphins,20,27,7,1,0
27,2017,2,Vikings,Steelers,9,26,17,1,0
28,2017,2,Bears,Buccaneers,7,29,22,1,0
29,2017,2,Bills,Panthers,3,9,6,1,0
30,2017,1,Steelers,Browns,21,18,-3,0,1
31,2017,1,Cardinals,Lions,23,35,12,1,0
32,2017,1,Raiders,Titans,26,16,-10,0,1
33,2019,1,Bills,Jets,17,16,-1,0,1
34,2019,1,Washington,Eagles,27,32,5,1,0
35,2019,1,Rams,Panthers,30,27,-3,0,1
36,2019,2,49ers,Bengals,41,17,-24,0,1
37,2019,2,Chargers,Lions,10,13,3,1,0
38,2019,2,Vikings,Packers,16,21,5,1,0
39,2018,2,Lions,49ers,27,30,3,1,0
40,2018,2,Raiders,Broncos,19,20,1,1,0
41,2018,2,Patriots,Jaguars,20,31,11,1,0
42,2020,1,Seahawks,Falcons,38,25,-13,0,1
43,2020,1,Jets,Bills,17,27,10,1,0
44,2020,1,Bears,Lions,27,23,-4,0,1
45,2018,1,49ers,Vikings,16,24,8,1,0
46,2018,1,Texans,Patriots,20,27,7,1,0
47,2018,1,Buccaneers,Saints,48,40,-8,0,1
48,2017,2,Titans,Jaguars,37,16,-21,0,1
49,2017,2,Browns,Ravens,10,24,14,1,0
50,2017,2,Jets,Raiders,20,45,25,1,0
51,2021,1,Cowboys,Buccaneers,29,31,2,1,0
