,idgame,date,stade,location,attendance,capacity,people,line,over_under,attendance_info,dayofweek,dayofmonth,hour,month,minute
0,401030690,2018-09-14 00:20:00+00:00,Paycor Stadium,"Cincinnati, OH",50018,65515,76,,,1,4,14,0,9,20
1,401030694,2018-09-16 17:00:00+00:00,Nissan Stadium,"Nashville, TN",62372,69143,90,,,1,6,16,17,9,0
2,401030705,2018-09-16 17:00:00+00:00,Lambeau Field,"Green Bay, WI",78461,81441,96,,,1,6,16,17,9,0
3,400951620,2017-09-15 00:25:00+00:00,Paycor Stadium,"Cincinnati, OH",52942,65515,81,,,1,4,15,0,9,25
4,400951566,2017-09-08 00:30:00+00:00,Gillette Stadium,"Foxboro, MA",65878,65878,100,,,1,4,8,0,9,30
5,401127913,2019-09-06 00:20:00+00:00,Soldier Field,"Chicago, IL",62435,61500,100,,,1,4,6,0,9,20
6,401030691,2018-09-16 17:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",72528,75000,97,,,1,6,16,17,9,0
7,401030704,2018-09-16 17:00:00+00:00,Highmark Stadium,"Orchard Park, NY",69187,71621,97,,,1,6,16,17,9,0
8,400951632,2017-09-17 17:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",63137,63000,100,,,1,6,17,17,9,0
9,401030698,2018-09-16 17:00:00+00:00,Acrisure Stadium,"Pittsburgh, PA",63956,68400,94,,,1,6,16,17,9,0
10,400951567,2017-09-10 17:00:00+00:00,Highmark Stadium,"Orchard Park, NY",68751,71621,96,,,1,6,10,17,9,0
11,400951639,2017-09-17 17:00:00+00:00,Caesars Superdome,"New Orleans, LA",73168,68400,100,,,1,6,17,17,9,0
12,401030710,2018-09-07 00:55:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69696,69796,100,,,1,4,7,0,9,55
13,400951636,2017-09-17 17:00:00+00:00,GEHA Field at Arrowhead Stadium,"Kansas City, MO",74971,72936,100,,,1,6,17,17,9,0
14,401030708,2018-09-16 17:00:00+00:00,Caesars Superdome,"New Orleans, LA",73086,68400,100,,,1,6,16,17,9,0
15,401030700,2018-09-16 17:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",77982,82500,95,,,1,6,16,17,9,0
16,400951570,2017-09-10 17:00:00+00:00,Soldier Field,"Chicago, IL",61857,61500,100,,,1,6,10,17,9,0
17,400951572,2017-09-10 17:00:00+00:00,Paycor Stadium,"Cincinnati, OH",55254,65515,84,,,1,6,10,17,9,0
18,401127928,2019-09-08 17:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431,67431,100,,,1,6,8,17,9,0
19,401030696,2018-09-16 17:00:00+00:00,Raymond James Stadium,"Tampa, FL",56552,65618,86,,,1,6,16,17,9,0
20,401127961,2019-09-08 17:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",66714,66468,100,,,1,6,8,17,9,0
21,401127954,2019-09-08 17:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",65012,65326,100,,,1,6,8,17,9,0
22,401030693,2018-09-16 17:00:00+00:00,FedExField,"Landover, MD",57013,82000,70,,,1,6,16,17,9,0
23,401030732,2018-09-16 20:05:00+00:00,Los Angeles Memorial Coliseum,"Los Angeles, CA",66515,77500,86,,,1,6,16,20,9,5
24,401128054,2019-09-13 00:20:00+00:00,Bank of America Stadium,"Charlotte, NC",71101,73778,96,,,1,4,13,0,9,20
25,401220225,2020-09-11 00:20:00+00:00,GEHA Field at Arrowhead Stadium,"Kansas City, MO",15895,72936,22,Over/Under: 53.0,,1,4,11,0,9,20
26,401030717,2018-09-09 17:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",58699,63000,93,,,1,6,9,17,9,0
27,400951645,2017-09-17 17:00:00+00:00,Raymond James Stadium,"Tampa, FL",56640,65618,86,,,1,6,17,17,9,0
28,401030716,2018-09-09 17:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",65184,65326,100,,,1,6,9,17,9,0
29,401030718,2018-09-09 17:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431,67431,100,,,1,6,9,17,9,0
30,400951643,2017-09-17 17:00:00+00:00,Acrisure Stadium,"Pittsburgh, PA",65971,68400,96,,,1,6,17,17,9,0
31,400951630,2017-09-17 17:00:00+00:00,Bank of America Stadium,"Charlotte, NC",74122,73778,100,,,1,6,17,17,9,0
32,400951576,2017-09-10 17:00:00+00:00,Ford Field,"Detroit, MI",60957,64500,95,,,1,6,10,17,9,0
33,400951574,2017-09-10 17:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431,67431,100,,,1,6,10,17,9,0
34,401128066,2019-09-15 17:00:00+00:00,Paycor Stadium,"Cincinnati, OH",50666,65515,77,,,1,6,15,17,9,0
35,401128072,2019-09-15 17:00:00+00:00,Ford Field,"Detroit, MI",60158,64500,93,,,1,6,15,17,9,0
36,400951584,2017-09-10 17:00:00+00:00,Nissan Stadium,"Nashville, TN",69089,69143,100,,,1,6,10,17,9,0
37,401127963,2019-09-08 17:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",78523,82500,95,,,1,6,8,17,9,0
38,401127968,2019-09-08 17:00:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69796,69796,100,,,1,6,8,17,9,0
39,401128098,2019-09-15 17:00:00+00:00,Lambeau Field,"Green Bay, WI",78416,81441,96,,,1,6,15,17,9,0
40,401220282,2020-09-13 17:00:00+00:00,Ford Field,"Detroit, MI",0,64500,0,Over/Under: 42.5,,0,6,13,17,9,0
41,401030730,2018-09-16 20:05:00+00:00,Levi's Stadium,"Santa Clara, CA",70164,68500,100,,,1,6,16,20,9,5
42,401127923,2019-09-08 17:00:00+00:00,Bank of America Stadium,"Charlotte, NC",72005,73778,98,,,1,6,8,17,9,0
43,401220313,2020-09-13 17:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",0,75000,0,Over/Under: 49.0,,0,6,13,17,9,0
44,401030736,2018-09-16 20:25:00+00:00,Empower Field at Mile High,"Denver, CO",76696,76125,100,,,1,6,16,20,9,25
45,401030733,2018-09-16 20:25:00+00:00,TIAA Bank Field,"Jacksonville, FL",68527,67858,100,,,1,6,16,20,9,25
46,401220116,2020-09-13 17:00:00+00:00,Highmark Stadium,"Orchard Park, NY",0,71621,0,Over/Under: 38.5,,0,6,13,17,9,0
47,401030715,2018-09-09 17:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",66673,66468,100,,,1,6,9,17,9,0
48,401030714,2018-09-09 17:00:00+00:00,Gillette Stadium,"Foxboro, MA",65878,65878,100,,,1,6,9,17,9,0
49,400951626,2017-09-17 17:00:00+00:00,M&T Bank Stadium,"Baltimore, MD",70605,70745,100,,,1,6,17,17,9,0
50,400951669,2017-09-17 20:05:00+00:00,Oakland Coliseum,"Oakland, CA",54729,55997,98,,,1,6,17,20,9,5
51,401030713,2018-09-09 17:00:00+00:00,Caesars Superdome,"New Orleans, LA",73038,68400,100,,,1,6,9,17,9,0
52,401326322,2021-09-10 00:20:00+00:00,Raymond James Stadium,"Tampa, FL",65566,65618,100,Line: TB -9.0,Over/Under: 52.5,1,4,10,0,9,20
53,400951635,2017-09-17 17:00:00+00:00,TIAA Bank Field,"Jacksonville, FL",61709,67858,91,,,1,6,17,17,9,0
54,400951597,2017-09-10 20:05:00+00:00,Los Angeles Memorial Coliseum,"Los Angeles, CA",60128,77500,78,,,1,6,10,20,9,5
