,team,idgame,date,delta_match
0,Bengals,400951572,2017-09-10 17:00:00+00:00,0.0
1,Bengals,400951620,2017-09-15 00:25:00+00:00,4 days 07:25:00
2,Bengals,400951627,2017-09-24 20:25:00+00:00,9 days 20:00:00
3,Bengals,400951712,2017-10-01 17:00:00+00:00,6 days 20:35:00
4,Bengals,400951554,2017-10-08 17:00:00+00:00,7 days 00:00:00
5,Bengals,400951609,2017-10-22 20:25:00+00:00,14 days 03:25:00
6,Bengals,400951711,2017-10-29 17:00:00+00:00,6 days 20:35:00
7,Bengals,400951753,2017-11-05 18:00:00+00:00,7 days 01:00:00
8,Bengals,400951656,2017-11-12 18:00:00+00:00,7 days 00:00:00
9,Bengals,400951810,2017-11-19 21:25:00+00:00,7 days 03:25:00
10,Bengals,400951588,2017-11-26 18:00:00+00:00,6 days 20:35:00
11,Bengals,400951754,2017-12-05 01:30:00+00:00,8 days 07:30:00
12,Bengals,400951564,2017-12-10 18:00:00+00:00,5 days 16:30:00
13,Bengals,400951784,2017-12-17 18:00:00+00:00,7 days 00:00:00
14,Bengals,400951621,2017-12-24 18:00:00+00:00,7 days 00:00:00
15,Bengals,400951739,2017-12-31 21:25:00+00:00,7 days 03:25:00
16,Bengals,401030717,2018-09-09 17:00:00+00:00,251 days 19:35:00
17,Bengals,401030690,2018-09-14 00:20:00+00:00,4 days 07:20:00
18,Bengals,401030790,2018-09-23 17:00:00+00:00,9 days 16:40:00
19,Bengals,401030847,2018-09-30 17:00:00+00:00,7 days 00:00:00
20,Bengals,401030785,2018-10-07 17:00:00+00:00,7 days 00:00:00
21,Bengals,401030743,2018-10-14 17:00:00+00:00,7 days 00:00:00
22,Bengals,401030804,2018-10-22 00:20:00+00:00,7 days 07:20:00
23,Bengals,401030744,2018-10-28 17:00:00+00:00,6 days 16:40:00
24,Bengals,401030752,2018-11-11 18:00:00+00:00,14 days 01:00:00
25,Bengals,401030894,2018-11-18 18:00:00+00:00,7 days 00:00:00
26,Bengals,401030921,2018-11-25 18:00:00+00:00,7 days 00:00:00
27,Bengals,401030955,2018-12-02 18:00:00+00:00,7 days 00:00:00
28,Bengals,401030909,2018-12-16 18:00:00+00:00,14 days 00:00:00
29,Bengals,401030872,2018-12-23 18:00:00+00:00,7 days 00:00:00
30,Bengals,401030818,2018-12-30 21:25:00+00:00,7 days 03:25:00
31,Bengals,401127995,2019-09-08 20:05:00+00:00,251 days 22:40:00
32,Bengals,401128066,2019-09-15 17:00:00+00:00,6 days 20:55:00
33,Bengals,401127915,2019-09-22 17:00:00+00:00,7 days 00:00:00
34,Bengals,401128109,2019-10-01 00:15:00+00:00,8 days 07:15:00
35,Bengals,401127958,2019-10-06 17:00:00+00:00,5 days 16:45:00
36,Bengals,401128105,2019-10-13 17:00:00+00:00,7 days 00:00:00
37,Bengals,401127945,2019-10-20 17:00:00+00:00,7 days 00:00:00
38,Bengals,401127912,2019-10-27 17:00:00+00:00,7 days 00:00:00
39,Bengals,401127934,2019-11-10 18:00:00+00:00,14 days 01:00:00
40,Bengals,401128092,2019-11-17 21:25:00+00:00,7 days 03:25:00
41,Bengals,401127918,2019-11-24 18:00:00+00:00,6 days 20:35:00
42,Bengals,401128057,2019-12-01 18:00:00+00:00,7 days 00:00:00
43,Bengals,401127867,2019-12-08 18:00:00+00:00,7 days 00:00:00
44,Bengals,401127955,2019-12-15 18:00:00+00:00,7 days 00:00:00
45,Bengals,401127910,2019-12-22 18:00:00+00:00,7 days 00:00:00
46,Bengals,401127978,2019-12-29 18:00:00+00:00,7 days 00:00:00
47,Bengals,401220161,2020-09-13 20:05:00+00:00,259 days 02:05:00
48,Bengals,401220163,2020-09-18 00:20:00+00:00,4 days 04:15:00
49,Bengals,401220157,2020-10-04 17:00:00+00:00,16 days 16:40:00
50,Bengals,401220146,2020-10-11 17:00:00+00:00,7 days 00:00:00
51,Bengals,401220190,2020-10-18 17:00:00+00:00,7 days 00:00:00
52,Bengals,401220155,2020-10-25 17:00:00+00:00,7 days 00:00:00
53,Bengals,401220158,2020-11-01 18:00:00+00:00,7 days 01:00:00
54,Bengals,401220171,2020-11-15 21:25:00+00:00,14 days 03:25:00
55,Bengals,401220272,2020-11-22 18:00:00+00:00,6 days 20:35:00
56,Bengals,401220160,2020-11-29 18:00:00+00:00,7 days 00:00:00
57,Bengals,401220129,2020-12-06 18:00:00+00:00,7 days 00:00:00
58,Bengals,401220159,2020-12-13 18:00:00+00:00,7 days 00:00:00
59,Bengals,401220156,2020-12-22 01:15:00+00:00,8 days 07:15:00
60,Bengals,401220182,2020-12-27 18:00:00+00:00,5 days 16:45:00
61,Bengals,401220154,2021-01-03 18:00:00+00:00,7 days 00:00:00
62,Bengals,401326316,2021-09-12 17:00:00+00:00,251 days 23:00:00
63,Bengals,401326129,2021-09-19 17:00:00+00:00,7 days 00:00:00
64,Bengals,401326371,2021-09-26 17:00:00+00:00,7 days 00:00:00
65,Bengals,401326379,2021-10-01 00:20:00+00:00,4 days 07:20:00
66,Bengals,401326397,2021-10-10 17:00:00+00:00,9 days 16:40:00
67,Bengals,401326414,2021-10-17 17:00:00+00:00,7 days 00:00:00
68,Bengals,401326424,2021-10-24 17:00:00+00:00,7 days 00:00:00
69,Bengals,401326444,2021-10-31 17:00:00+00:00,7 days 00:00:00
70,Bengals,401326454,2021-11-07 18:00:00+00:00,7 days 01:00:00
71,Bengals,401326489,2021-11-21 21:05:00+00:00,14 days 03:05:00
72,Bengals,401326497,2021-11-28 18:00:00+00:00,6 days 20:55:00
73,Bengals,401326512,2021-12-05 18:00:00+00:00,7 days 00:00:00
74,Bengals,401326525,2021-12-12 21:25:00+00:00,7 days 03:25:00
75,Bengals,401326548,2021-12-19 21:05:00+00:00,6 days 23:40:00
76,Bengals,401326558,2021-12-26 18:00:00+00:00,6 days 20:55:00
77,Bengals,401326571,2022-01-02 18:00:00+00:00,7 days 00:00:00
78,Bengals,401326588,2022-01-09 18:00:00+00:00,7 days 00:00:00
79,Falcons,400951570,2017-09-10 17:00:00+00:00,0.0
80,Falcons,400951679,2017-09-18 00:30:00+00:00,7 days 07:30:00
81,Falcons,400951594,2017-09-24 17:00:00+00:00,6 days 16:30:00
82,Falcons,400951685,2017-10-01 17:00:00+00:00,7 days 00:00:00
83,Falcons,400951697,2017-10-15 17:00:00+00:00,14 days 00:00:00
84,Falcons,400951638,2017-10-23 00:30:00+00:00,7 days 07:30:00
85,Falcons,400951721,2017-10-29 17:00:00+00:00,6 days 16:30:00
86,Falcons,400951749,2017-11-05 18:00:00+00:00,7 days 01:00:00
87,Falcons,400951686,2017-11-12 21:25:00+00:00,7 days 03:25:00
88,Falcons,400951818,2017-11-21 01:30:00+00:00,8 days 04:05:00
89,Falcons,400951586,2017-11-26 18:00:00+00:00,5 days 16:30:00
90,Falcons,400951677,2017-12-03 18:00:00+00:00,7 days 00:00:00
91,Falcons,400951557,2017-12-08 01:25:00+00:00,4 days 07:25:00
92,Falcons,400951816,2017-12-19 01:30:00+00:00,11 days 00:05:00
93,Falcons,400951637,2017-12-24 18:00:00+00:00,5 days 16:30:00
94,Falcons,400951734,2017-12-31 21:25:00+00:00,7 days 03:25:00
95,Falcons,401030710,2018-09-07 00:55:00+00:00,249 days 03:30:00
96,Falcons,401030691,2018-09-16 17:00:00+00:00,9 days 16:05:00
97,Falcons,401030777,2018-09-23 17:00:00+00:00,7 days 00:00:00
98,Falcons,401030847,2018-09-30 17:00:00+00:00,7 days 00:00:00
99,Falcons,401030709,2018-10-07 17:00:00+00:00,7 days 00:00:00
100,Falcons,401030695,2018-10-14 17:00:00+00:00,7 days 00:00:00
101,Falcons,401030796,2018-10-23 00:15:00+00:00,8 days 07:15:00
102,Falcons,401030826,2018-11-04 18:00:00+00:00,12 days 17:45:00
