<<<<<<< HEAD:nflscraping/working_files/scores_prep.csv
,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away
0,2018,2,Ravens,Bengals,23,34,401030690,11,1,0
1,2018,2,Panthers,Falcons,24,31,401030691,7,1,0
2,2018,2,Chargers,Bills,31,20,401030704,-11,0,1
3,2018,2,Texans,Titans,17,20,401030694,3,1,0
4,2017,2,Texans,Bengals,13,9,400951620,-4,0,1
5,2017,1,Chiefs,Patriots,42,27,400951566,-15,0,1
6,2019,1,Packers,Bears,10,3,401127913,-7,0,1
7,2018,2,Browns,Saints,18,21,401030708,3,1,0
8,2018,2,Dolphins,Jets,20,12,401030700,-8,0,1
9,2018,2,Chiefs,Steelers,42,37,401030698,-5,0,1
10,2018,1,Falcons,Eagles,12,18,401030710,6,1,0
11,2017,2,Cardinals,Colts,16,13,400951632,-3,0,1
12,2017,2,Eagles,Chiefs,20,27,400951636,7,1,0
13,2017,2,Patriots,Saints,36,20,400951639,-16,0,1
14,2017,1,Jets,Bills,12,21,400951567,9,1,0
15,2017,1,Falcons,Bears,23,17,400951570,-6,0,1
16,2017,1,Ravens,Bengals,20,0,400951572,-20,0,1
17,2019,1,Titans,Browns,43,13,401127928,-30,0,1
18,2019,1,Ravens,Dolphins,59,10,401127954,-49,0,1
19,2019,1,Falcons,Vikings,12,28,401127961,16,1,0
20,2019,2,Buccaneers,Panthers,20,14,401128054,-6,0,1
21,2018,2,Eagles,Buccaneers,21,27,401030696,6,1,0
22,2018,2,Colts,Washington,21,9,401030693,-12,0,1
23,2018,2,Cardinals,Rams,0,34,401030732,34,1,0
24,2020,1,Texans,Chiefs,20,34,401220225,14,1,0
25,2018,1,Bengals,Colts,34,23,401030717,-11,0,1
26,2018,1,Titans,Dolphins,20,27,401030716,7,1,0
27,2017,2,Vikings,Steelers,9,26,400951643,17,1,0
28,2017,2,Bears,Buccaneers,7,29,400951645,22,1,0
29,2017,2,Bills,Panthers,3,9,400951630,6,1,0
30,2017,1,Steelers,Browns,21,18,400951574,-3,0,1
31,2017,1,Cardinals,Lions,23,35,400951576,12,1,0
32,2017,1,Raiders,Titans,26,16,400951584,-10,0,1
33,2019,1,Bills,Jets,17,16,401127963,-1,0,1
34,2019,1,Washington,Eagles,27,32,401127968,5,1,0
35,2019,1,Rams,Panthers,30,27,401127923,-3,0,1
36,2019,2,49ers,Bengals,41,17,401128066,-24,0,1
37,2019,2,Chargers,Lions,10,13,401128072,3,1,0
38,2019,2,Vikings,Packers,16,21,401128098,5,1,0
39,2018,2,Lions,49ers,27,30,401030730,3,1,0
40,2018,2,Raiders,Broncos,19,20,401030736,1,1,0
41,2018,2,Patriots,Jaguars,20,31,401030733,11,1,0
42,2020,1,Seahawks,Falcons,38,25,401220313,-13,0,1
43,2020,1,Jets,Bills,17,27,401220116,10,1,0
44,2020,1,Bears,Lions,27,23,401220282,-4,0,1
45,2018,1,49ers,Vikings,16,24,401030715,8,1,0
46,2018,1,Texans,Patriots,20,27,401030714,7,1,0
47,2018,1,Buccaneers,Saints,48,40,401030713,-8,0,1
48,2017,2,Titans,Jaguars,37,16,400951635,-21,0,1
49,2017,2,Browns,Ravens,10,24,400951626,14,1,0
50,2017,2,Jets,Raiders,20,45,400951669,25,1,0
51,2021,1,Cowboys,Buccaneers,29,31,401326322,2,1,0
52,2017,1,Eagles,Washington,30,17,400951592,-13,0,1
53,2017,1,Jaguars,Texans,29,7,400951580,-22,0,1
54,2017,1,Colts,Rams,9,46,400951597,37,1,0
55,2017,1,Seahawks,Packers,9,17,400951601,8,1,0
56,2019,1,Chiefs,Jaguars,40,26,401127931,-14,0,1
57,2019,1,Colts,Chargers,24,30,401127972,6,1,0
58,2019,1,Bengals,Seahawks,20,21,401127995,1,1,0
59,2019,2,Colts,Titans,19,17,401128114,-2,0,1
60,2019,2,Patriots,Dolphins,43,0,401127862,-43,0,1
61,2019,2,Bills,Giants,28,14,401128106,-14,0,1
62,2018,2,Giants,Cowboys,13,20,401030738,7,1,0
63,2018,2,Seahawks,Bears,17,24,401030739,7,1,0
64,2020,1,Packers,Vikings,43,34,401220300,-9,0,1
65,2020,1,Dolphins,Patriots,11,21,401220131,10,1,0
66,2020,1,Eagles,Washington,17,27,401220268,10,1,0
67,2018,1,Jaguars,Giants,20,15,401030712,-5,0,1
68,2018,1,Bills,Ravens,3,47,401030711,44,1,0
69,2018,1,Chiefs,Chargers,38,28,401030720,-10,0,1
70,2017,2,Dolphins,Chargers,19,17,400951666,-2,0,1
71,2017,2,Cowboys,Broncos,17,42,400951673,25,1,0
72,2017,2,Washington,Rams,27,20,400951674,-7,0,1
73,2021,1,Eagles,Falcons,32,6,401326315,-26,0,1
74,2021,1,Steelers,Bills,23,16,401326308,-7,0,1
75,2021,1,Vikings,Bengals,24,27,401326316,3,1,0
76,2017,1,Panthers,49ers,23,3,400951605,-20,0,1
77,2017,1,Giants,Cowboys,3,19,400951608,16,1,0
78,2019,1,Giants,Cowboys,17,35,401128007,18,1,0
79,2019,1,49ers,Buccaneers,31,17,401128010,-14,0,1
80,2019,2,Seahawks,Steelers,28,26,401128110,-2,0,1
81,2019,2,Cowboys,Washington,31,21,401128115,-10,0,1
82,2019,2,Cardinals,Ravens,17,23,401128061,6,1,0
83,2020,1,Raiders,Panthers,34,30,401220370,-4,0,1
84,2020,1,Colts,Jaguars,20,27,401220195,7,1,0
85,2020,1,Browns,Ravens,6,38,401220147,32,1,0
86,2018,1,Seahawks,Broncos,24,27,401030721,3,1,0
87,2018,1,Washington,Cardinals,24,6,401030725,-18,0,1
88,2018,1,Cowboys,Panthers,8,16,401030723,8,1,0
89,2017,2,49ers,Seahawks,9,12,400951676,3,1,0
90,2017,2,Packers,Falcons,23,34,400951679,11,1,0
91,2017,2,Lions,Giants,24,10,400951681,-14,0,1
92,2021,1,49ers,Lions,41,33,401326317,-8,0,1
93,2021,1,Cardinals,Titans,38,13,401326311,-25,0,1
94,2021,1,Seahawks,Colts,28,16,401326318,-12,0,1
95,2019,1,Steelers,Patriots,3,33,401127860,30,1,0
96,2019,1,Texans,Saints,28,30,401128021,2,1,0
97,2019,1,Broncos,Raiders,16,24,401128025,8,1,0
98,2019,2,Jaguars,Texans,12,13,401128101,1,1,0
99,2019,2,Chiefs,Raiders,28,10,401128118,-18,0,1
100,2019,2,Bears,Broncos,16,14,401128120,-2,0,1
101,2020,1,Chargers,Bengals,16,13,401220161,-3,0,1
102,2020,1,Buccaneers,Saints,23,34,401220369,11,1,0
103,2020,1,Cardinals,49ers,24,20,401220352,-4,0,1
104,2018,1,Bears,Packers,23,24,401030726,1,1,0
105,2018,1,Jets,Lions,48,17,401030728,-31,0,1
106,2018,1,Rams,Raiders,33,13,401030751,-20,0,1
107,2021,1,Chargers,Washington,20,16,401326312,-4,0,1
108,2021,1,Jets,Panthers,14,19,401326309,5,1,0
109,2021,1,Jaguars,Texans,21,37,401326310,16,1,0
110,2019,2,Saints,Rams,9,27,401128122,18,1,0
111,2019,2,Eagles,Falcons,20,24,401128124,4,1,0
112,2019,2,Browns,Jets,23,3,401128127,-20,0,1
